ID,MonthlyIncome
871,1000
872,1000
873,1000
874,1000
875,1000
876,1000
877,1000
878,1000
879,1000
880,1000
881,1000
882,1000
883,1000
884,1000
885,1000
886,1000
887,1000
888,1000
889,1000
890,1000
891,1000
892,1000
893,1000
894,1000
895,1000
896,1000
897,1000
898,1000
899,1000
900,1000
901,1000
902,1000
903,1000
904,1000
905,1000
906,1000
907,1000
908,1000
909,1000
910,1000
911,1000
912,1000
913,1000
914,1000
915,1000
916,1000
917,1000
918,1000
919,1000
920,1000
921,1000
922,1000
923,1000
924,1000
925,1000
926,1000
927,1000
928,1000
929,1000
930,1000
931,1000
932,1000
933,1000
934,1000
935,1000
936,1000
937,1000
938,1000
939,1000
940,1000
941,1000
942,1000
943,1000
944,1000
945,1000
946,1000
947,1000
948,1000
949,1000
950,1000
951,1000
952,1000
953,1000
954,1000
955,1000
956,1000
957,1000
958,1000
959,1000
960,1000
961,1000
962,1000
963,1000
964,1000
965,1000
966,1000
967,1000
968,1000
969,1000
970,1000
971,1000
972,1000
973,1000
974,1000
975,1000
976,1000
977,1000
978,1000
979,1000
980,1000
981,1000
982,1000
983,1000
984,1000
985,1000
986,1000
987,1000
988,1000
989,1000
990,1000
991,1000
992,1000
993,1000
994,1000
995,1000
996,1000
997,1000
998,1000
999,1000
1000,1000
1001,1000
1002,1000
1003,1000
1004,1000
1005,1000
1006,1000
1007,1000
1008,1000
1009,1000
1010,1000
1011,1000
1012,1000
1013,1000
1014,1000
1015,1000
1016,1000
1017,1000
1018,1000
1019,1000
1020,1000
1021,1000
1022,1000
1023,1000
1024,1000
1025,1000
1026,1000
1027,1000
1028,1000
1029,1000
1030,1000
1031,1000
1032,1000
1033,1000
1034,1000
1035,1000
1036,1000
1037,1000
1038,1000
1039,1000
1040,1000
1041,1000
1042,1000
1043,1000
1044,1000
1045,1000
1046,1000
1047,1000
1048,1000
1049,1000
1050,1000
1051,1000
1052,1000
1053,1000
1054,1000
1055,1000
1056,1000
1057,1000
1058,1000
1059,1000
1060,1000
1061,1000
1062,1000
1063,1000
1064,1000
1065,1000
1066,1000
1067,1000
1068,1000
1069,1000
1070,1000
1071,1000
1072,1000
1073,1000
1074,1000
1075,1000
1076,1000
1077,1000
1078,1000
1079,1000
1080,1000
1081,1000
1082,1000
1083,1000
1084,1000
1085,1000
1086,1000
1087,1000
1088,1000
1089,1000
1090,1000
1091,1000
1092,1000
1093,1000
1094,1000
1095,1000
1096,1000
1097,1000
1098,1000
1099,1000
1100,1000
1101,1000
1102,1000
1103,1000
1104,1000
1105,1000
1106,1000
1107,1000
1108,1000
1109,1000
1110,1000
1111,1000
1112,1000
1113,1000
1114,1000
1115,1000
1116,1000
1117,1000
1118,1000
1119,1000
1120,1000
1121,1000
1122,1000
1123,1000
1124,1000
1125,1000
1126,1000
1127,1000
1128,1000
1129,1000
1130,1000
1131,1000
1132,1000
1133,1000
1134,1000
1135,1000
1136,1000
1137,1000
1138,1000
1139,1000
1140,1000
1141,1000
1142,1000
1143,1000
1144,1000
1145,1000
1146,1000
1147,1000
1148,1000
1149,1000
1150,1000
1151,1000
1152,1000
1153,1000
1154,1000
1155,1000
1156,1000
1157,1000
1158,1000
1159,1000
1160,1000
1161,1000
1162,1000
1163,1000
1164,1000
1165,1000
1166,1000
1167,1000
1168,1000
1169,1000
1170,1000